店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
個室居酒屋 地鶏と鮮魚が旨い店 とりうお 熊本西銀座通り店,050-5487-9136,,熊本県,熊本市中央区,新市街1-3,ホクショウビル2F,,
熊本地酒と郷土料理 おてもやん,050-5487-5371,,熊本県,熊本市中央区,下通1-12-3,高津ビル2F,,
魚粋,050-5484-7667,,熊本県,熊本市中央区,新市街9-1,ハローレディビルB1,http://www.jandj-food.co.jp/,FALSE
創作和菜 佳昇,096-351-9400,,熊本県,熊本市中央区,南坪井町1-1,並木坂NKビルB棟1F,https://kasho-kumamoto.gorp.jp/,TRUE
完全個室居酒屋 炭焼きと季節料理 炭火家 熊本下通り店,050-5484-5582,,熊本県,熊本市中央区,手取本町4-15,みどりやトーキビルB1,,
焼鳥 鶏男 バードマン,050-5489-4566,,熊本県,熊本市中央区,下通1-9-8,エクストールイン熊本銀座通1F,https://birdman.gorp.jp/,TRUE
熊本郷土居酒屋 上乃裏とおり まぅいどっ,050-5487-3647,,熊本県,熊本市中央区,南坪井町2-16,B1,,
九州名物 とめ手羽 熊本店,050-5488-9250,,熊本県,熊本市中央区,下通1-7-13,下通タジリビル2F,http://tometeba.jp/,FALSE
全席完全個室 七笑,050-5486-3207,,熊本県,熊本市中央区,花畑町13-11,,,
鉄板焼ステーキ・しゃぶしゃぶ 佳紋,096-351-4129,,熊本県,熊本市中央区,上通町3-15,ステラ上通ビルB1,,
居酒屋 あじ彩 熊本西銀座通り店,050-5487-7186,,熊本県,熊本市中央区,新市街3-3,岡村ビル,,
焼肉ブラザーズ,096-223-5231,,熊本県,熊本市中央区,花畑町10-4,,,
和食居酒屋 誠,050-5488-0235,,熊本県,熊本市中央区,下通2-1-22,3F,,
居酒屋 あじ彩 熊本西銀座通り店,050-5487-7186,,熊本県,熊本市中央区,新市街3-3,岡村ビル,,
熊本 魚蔵,050-5486-4728,,熊本県,熊本市中央区,手取本町5-1,,,
熊本郷土料理 個室居酒屋 えびすや 熊本新市街店,050-5488-2135,,熊本県,熊本市中央区,新市街1-22,,http://www.kaihan.co.jp/,FALSE
はたけ山 和食 居酒屋 ‐熊本‐,050-5485-5857,,熊本県,熊本市中央区,南坪井町5-30,奥畠山商会ビル1F奥,,
BAZAR,050-5488-6933,,熊本県,熊本市中央区,水道町1-9,2F,,
熊本 魚蔵,050-5486-4728,,熊本県,熊本市中央区,手取本町5-1,,,
旬彩 おが田,050-5487-8871,,熊本県,熊本市中央区,手取本町3-9,fanビル2F,,
居酒屋革命 酔っ手羽 熊本下通2号店,050-5488-8015,,熊本県,熊本市中央区,下通1-2-11,TM34ビル1F,,
焼肉ホルモン 恵比寿,050-5488-7952,,熊本県,熊本市中央区,三郎1-1-55,,,
築地すし鮮 熊本総本店,050-5493-7151,,熊本県,熊本市中央区,下通1-9-10,光臨ビル1F,http://sakanaya-group.com/,FALSE
